,weekday,hour,day,lang,reach,retweetcount,likes,klout,sentiment,locationid,isreshare
0,Thursday,17,31,en,44,0,0,35,0.0,3751,0
1,Thursday,17,31,en,1810,5,0,53,2.0,3989,1
2,Thursday,17,31,en,282,0,0,47,0.0,3741,0
3,Thursday,17,31,en,2087,4,0,53,0.0,3753,0
4,Thursday,17,31,en,953,0,0,47,0.0,3751,0
5,Thursday,17,31,en,113,0,0,31,-1.0,3744,0
6,Thursday,17,31,en,113,0,0,31,-2.0,3744,0
7,Thursday,17,31,en,113,0,0,31,-1.0,3744,0
8,Thursday,17,31,en,4893,1,0,49,0.0,3764,0
9,Thursday,17,31,en,2868,6,0,51,2.0,211,1
10,Thursday,17,31,en,86,51,0,16,2.0,3751,1
11,Thursday,17,31,en,82,0,0,23,0.0,80,0
12,Thursday,17,31,en,368,0,0,43,1.0,3816,0
13,Thursday,17,31,en,113,0,0,31,-1.0,3744,0
14,Thursday,17,31,en,8,0,0,21,3.0,3797,0
15,Thursday,17,31,en,2214,0,0,0,0.0,3738,0
16,Thursday,17,31,en,387,0,0,56,0.0,3018,0
17,Thursday,17,31,en,149,3,0,31,0.0,806,1
18,Thursday,17,31,en,356,2,0,47,2.0,3033,1
19,Thursday,17,31,en,201,3,0,40,0.0,3900,1
20,Thursday,17,31,en,6741,2,0,49,1.33333337306976,3861,0
21,Thursday,18,31,en,3774,0,0,45,0.0,586,0
22,Thursday,18,31,en,932,2,0,0,4.0,3753,0
23,Thursday,18,31,en,1768,0,0,46,0.0,3033,0
24,Thursday,18,31,en,7297,44,0,59,0.0,3766,1
25,Thursday,18,31,en,631,35,0,42,0.0,1601,1
26,Thursday,18,31,en,2874,1,0,59,0.0,4056,0
27,Thursday,18,31,en,104,3,0,42,0.0,1329,1
28,Thursday,18,31,_u,331,0,0,36,0.0,4598,0
29,Thursday,18,31,en,281,0,0,43,-2.0,3766,0
30,Thursday,18,31,en,1052,0,0,47,0.0,4534,0
31,Thursday,18,31,en,688,0,0,45,3.0,2304,0
32,Thursday,18,31,en,437,0,0,38,0.0,1336,0
33,Thursday,18,31,en,1642,43,0,50,0.0,3019,1
34,Thursday,18,31,en,219,0,0,34,1.0,4150,0
35,Thursday,18,31,en,47,44,0,38,0.0,2352,1
36,Thursday,18,31,en,35,0,0,22,2.0,3766,0
37,Thursday,18,31,en,41,45,0,23,0.0,2844,1
38,Thursday,18,31,en,1458,0,0,42,3.0,5288,0
39,Thursday,18,31,en,278,0,0,42,1.25,3741,0
40,Thursday,19,31,en,643,0,0,44,0.0,3907,0
41,Thursday,19,31,en,493,4,0,44,0.0,4083,1
42,Thursday,19,31,en,271,0,0,48,0.0,3806,0
43,Thursday,19,31,en,221,1,0,41,0.0,1343,0
44,Thursday,19,31,en,221,1,0,36,2.0,81,0
45,Thursday,19,31,en,18,2,0,23,2.0,199,1
46,Thursday,20,31,en,50,0,0,26,0.0,3737,0
47,Thursday,20,31,en,5971,0,0,61,1.5,3927,0
48,Thursday,20,31,en,410,1,0,36,4.0,5545,0
49,Thursday,20,31,en,2272,0,0,50,1.0,3941,0
50,Thursday,20,31,en,45,0,0,36,0.0,3751,0
51,Thursday,20,31,en,111,2,0,23,0.0,4226,1
52,Thursday,20,31,en,180,2,0,23,4.0,3840,1
53,Thursday,20,31,en,1804,1,0,52,0.0,3753,1
54,Thursday,20,31,en,1816,1,0,53,0.0,3989,1
55,Thursday,21,31,en,0,0,0,10,0.0,3999,0
56,Thursday,21,31,en,5,0,0,13,0.0,1334,0
57,Thursday,21,31,en,171,4,0,42,0.0,3744,1
58,Thursday,21,31,en,1817,108,0,53,3.0,3989,1
59,Thursday,21,31,en,610,1,0,40,0.0,3751,1
60,Thursday,21,31,en,11318,0,0,62,0.0,3757,0
61,Thursday,21,31,en,13,3,0,16,0.0,1332,1
62,Thursday,21,31,en,28,0,0,21,0.0,1332,0
63,Thursday,21,31,en,850,4,0,48,0.0,158,1
64,Thursday,21,31,en,211,0,0,46,0.0,1483,0
65,Thursday,21,31,en,10,0,0,16,3.0,3845,0
66,Thursday,22,31,en,168,0,0,45,0.0,3755,0
67,Thursday,22,31,en,435,0,0,45,0.0,3746,0
68,Thursday,22,31,en,310,0,0,53,0.0,3745,0
69,Thursday,22,31,en,435,4,0,45,0.0,3746,0
70,Thursday,22,31,en,408,0,0,41,0.0,3741,0
71,Thursday,22,31,en,271,24,0,29,0.0,3738,1
72,Thursday,22,31,en,23,0,0,19,0.0,3909,0
73,Thursday,22,31,en,907,0,0,48,0.0,3019,0
74,Thursday,22,31,en,2796,0,0,51,0.0,3753,0
75,Thursday,22,31,en,67,0,0,28,0.0,3751,0
76,Thursday,22,31,en,2108,0,0,60,0.0,3786,0
77,Thursday,22,31,en,662,0,0,44,0.0,3753,0
78,Thursday,22,31,en,864,0,0,45,0.0,1302,0
79,Thursday,23,31,en,46,0,0,40,0.0,3751,0
80,Thursday,23,31,en,186,36,0,39,0.0,2612,1
81,Thursday,23,31,en,10,5,0,20,0.0,3753,1
82,Thursday,23,31,en,1818,2,0,53,0.0,3989,1
83,Thursday,23,31,en,224,0,0,43,0.0,4388,0
84,Thursday,23,31,en,31,95,0,13,0.0,3019,1
85,Thursday,23,31,en,1358,1,0,63,0.0,3753,0
86,Thursday,23,31,en,45,0,0,36,0.0,3751,0
87,Thursday,23,31,en,435,0,0,47,0.0,3746,0
88,Thursday,23,31,en,328,0,0,44,0.0,1330,0
89,Thursday,23,31,en,52534,9,0,64,0.0,3786,1
90,Thursday,23,31,en,315,0,0,35,0.0,78,0
91,Friday,0,1,en,50,0,0,26,0.0,3737,0
92,Friday,0,1,en,835,12,0,42,0.0,3738,1
93,Friday,0,1,en,176,0,0,36,0.0,1064,0
94,Friday,0,1,en,114,0,0,36,-2.0,1329,0
95,Friday,0,1,en,328,0,0,44,0.0,1330,0
96,Friday,0,1,en,717,0,0,46,0.0,3017,0
97,Friday,0,1,en,165,7,0,44,0.0,3739,1
98,Friday,0,1,en,304,0,0,47,2.0,3740,0
99,Friday,0,1,en,387,0,0,56,0.0,3018,0
100,Friday,0,1,en,3555,1,0,61,0.0,3019,1
101,Friday,1,1,en,1170,1,0,49,0.0,3741,0
102,Friday,1,1,en,1082,0,0,51,0.0,78,0
103,Friday,1,1,_u,658,0,0,48,1.0,3742,0
104,Friday,1,1,en,2106,1,0,56,0.0,2299,1
105,Friday,1,1,en,962,1,0,49,2.0,3019,0
106,Friday,1,1,en,1082,0,0,51,0.0,78,0
107,Friday,1,1,en,1016,1,0,55,2.0,3019,1
108,Friday,1,1,en,1606,0,0,60,0.0,2650,0
109,Friday,1,1,en,509,0,0,46,0.0,3743,0
110,Friday,1,1,en,211,0,0,47,0.0,3744,0
111,Friday,1,1,en,4450,0,0,64,0.0,3019,0
112,Friday,1,1,en,346,0,0,26,0.0,3020,0
113,Friday,1,1,en,660,0,0,57,0.0,3745,0
114,Friday,2,1,en,435,0,0,47,0.0,3746,0
115,Friday,2,1,en,467,0,0,48,0.0,3747,0
116,Friday,2,1,en,1220,1,0,48,0.0,3748,0
117,Friday,2,1,en,926,0,0,48,1.0,3749,0
118,Friday,2,1,en,13,0,0,16,0.0,2925,0
119,Friday,2,1,en,368,0,0,41,0.0,1649,0
120,Friday,2,1,_u,107,0,0,28,0.0,2300,0
121,Friday,2,1,en,13,0,0,16,3.0,2925,0
122,Friday,2,1,en,118,0,0,35,2.0,3750,0
123,Friday,2,1,en,245,2,0,42,0.0,1329,1
124,Friday,2,1,en,51,4,0,16,0.0,3019,1
125,Friday,2,1,en,486,1,0,42,0.0,2253,1
126,Friday,3,1,en,661,1,0,34,0.0,3021,0
127,Friday,3,1,en,45,0,0,36,4.0,3751,0
128,Friday,3,1,en,1089,0,0,48,0.0,3752,0
129,Friday,3,1,en,15,7,0,13,0.0,1329,1
130,Friday,3,1,en,370,0,0,41,2.0,3022,0
131,Friday,3,1,en,124,0,0,31,1.0,79,0
132,Friday,3,1,en,2046,0,0,41,4.0,3019,0
133,Friday,3,1,en,242,0,0,51,0.0,1331,0
134,Friday,3,1,en,158,0,0,18,0.0,2839,0
135,Friday,3,1,en,176,38,0,38,0.0,209,1
136,Friday,3,1,en,257,0,0,41,0.0,1332,0
137,Friday,3,1,en,727,0,0,53,-1.5,1650,0
138,Friday,3,1,en,58888,0,0,44,0.0,80,0
139,Friday,3,1,en,185,0,0,33,1.0,3753,0
140,Friday,3,1,en,878,1,0,44,0.0,3751,1
141,Friday,3,1,en,834,0,0,46,0.0,3019,0
142,Friday,4,1,en,482,2,0,44,0.0,3754,1
143,Friday,4,1,en,1103,0,0,48,0.0,463,0
144,Friday,4,1,en,47,0,0,33,-1.0,2842,0
145,Friday,4,1,en,1192,0,0,41,0.0,1333,0
146,Friday,4,1,en,94,2,0,39,0.0,2651,1
147,Friday,4,1,en,59,0,0,29,0.0,800,0
148,Friday,4,1,en,553,0,0,48,0.0,3755,0
149,Friday,4,1,en,458,0,0,48,0.0,3756,0
150,Friday,4,1,en,93,85,0,21,0.0,2843,1
151,Friday,4,1,en,2853,0,0,52,0.666666686534881,3757,0
152,Friday,4,1,en,773,0,0,49,0.0,3751,0
153,Friday,5,1,en,157,0,0,29,4.0,761,0
154,Friday,5,1,en,157,1,0,29,-1.5,761,1
155,Friday,5,1,en,347,1,0,45,0.0,3758,0
156,Friday,5,1,en,67,0,0,28,0.0,3751,0
157,Friday,5,1,en,69,12,0,28,0.0,2844,1
158,Friday,5,1,en,8,155,0,18,0.0,1065,1
159,Friday,5,1,en,1111,0,0,46,0.0,3023,0
160,Friday,5,1,en,838,0,0,49,0.0,3738,0
161,Friday,5,1,en,3497,0,0,47,0.0,3751,0
162,Friday,5,1,en,402,2,0,47,1.66666662693023,3751,1
163,Friday,5,1,en,1180,0,0,46,0.0,1329,0
164,Friday,5,1,en,774,0,0,49,0.0,3751,0
165,Friday,5,1,en,311,0,0,47,0.0,3741,0
166,Friday,5,1,en,499,0,0,48,2.0,3759,0
167,Friday,5,1,en,140,0,0,45,0.0,3760,0
168,Friday,5,1,en,419,0,0,40,0.0,3761,0
169,Friday,5,1,en,2198,0,0,54,-2.0,3019,0
170,Friday,5,1,en,419,0,0,40,1.0,3761,0
171,Friday,5,1,en,499,0,0,48,0.0,3759,0
172,Friday,5,1,en,419,0,0,40,1.0,3761,0
173,Friday,6,1,en,11,0,0,13,0.0,287,0
174,Friday,6,1,en,11,0,0,13,0.0,287,0
175,Friday,6,1,en,31,7,0,25,0.0,2652,1
176,Friday,6,1,en,17297,1,0,47,0.0,3762,1
177,Friday,6,1,en,4,3,0,11,0.0,1334,1
178,Friday,6,1,en,3416,0,0,52,0.0,210,0
179,Friday,6,1,en,481,25,0,47,0.0,3763,1
180,Friday,6,1,en,1349,0,0,63,0.0,3753,0
181,Friday,6,1,en,45,0,0,36,0.0,3751,0
182,Friday,6,1,en,162,0,0,40,0.0,2254,0
183,Friday,6,1,en,499,0,0,48,0.0,3759,0
184,Friday,6,1,en,352,0,0,36,0.0,1331,0
185,Friday,6,1,en,411,0,0,50,0.0,3738,0
186,Friday,7,1,en,1580,2,0,54,0.0,3764,0
187,Friday,7,1,en,1580,0,0,54,0.0,3764,0
188,Friday,7,1,en,2087,0,0,0,2.0,3011,0
189,Friday,7,1,en,2507,0,0,44,2.0,3753,0
190,Friday,7,1,en,4906,0,0,71,0.0,2653,0
191,Friday,7,1,en,1166,0,0,46,2.0,2432,0
192,Friday,7,1,en,419,0,0,40,0.0,3761,0
193,Friday,7,1,en,448,52,0,40,0.0,677,1
194,Friday,7,1,en,16,0,0,25,0.0,3752,0
195,Friday,7,1,en,1725,1,0,50,0.0,3765,1
196,Friday,7,1,en,410,0,0,0,-1.0,2055,0
197,Friday,7,1,en,499,0,0,48,0.0,3759,0
198,Friday,7,1,en,930,1,0,45,0.0,3766,0
199,Friday,7,1,en,749,1,0,42,0.0,1651,1
200,Friday,7,1,en,210,0,0,46,0.0,1483,0
201,Friday,7,1,en,510,88,0,42,0.0,3019,1
202,Friday,7,1,en,19,0,0,28,0.0,3755,0
203,Friday,7,1,en,109,0,0,49,0.0,3767,0
204,Friday,7,1,en,210,2,0,36,2.0,3739,1
205,Friday,7,1,_u,921,0,0,40,0.0,3739,0
206,Friday,8,1,en,1536,0,0,50,0.0,3751,0
207,Friday,8,1,en,169,0,0,45,0.0,3755,0
208,Friday,8,1,en,443,0,0,47,0.0,3768,0
209,Friday,8,1,en,209,0,0,41,3.0,1335,0
210,Friday,8,1,en,229,0,0,45,0.0,3752,0
211,Friday,8,1,en,4986,1,0,53,0.0,3753,1
212,Friday,8,1,en,58,1,0,23,0.0,2926,1
213,Friday,8,1,en,234,0,0,26,0.0,2056,0
214,Friday,8,1,en,50,1,0,26,0.0,3737,0
215,Friday,8,1,en,265,7,0,27,0.0,757,0
216,Friday,8,1,en,5892,0,0,44,0.0,3753,0
217,Friday,8,1,en,244,0,0,51,0.0,1331,0
218,Friday,8,1,en,578,0,0,50,1.0,3769,0
219,Friday,8,1,en,1747,33,0,26,0.0,3019,1
220,Friday,8,1,en,211,0,0,42,0.0,3753,0
221,Friday,8,1,en,1120,0,0,49,0.0,80,0
222,Friday,8,1,en,190,0,0,44,0.0,1601,0
223,Friday,8,1,en,129,0,0,24,0.0,3019,0
224,Friday,8,1,en,412,54,0,44,0.0,2888,1
225,Friday,9,1,en,2266,1,0,51,0.0,800,0
226,Friday,9,1,en,1735,3,0,50,0.0,3765,1
227,Friday,9,1,en,991,7,0,39,0.0,2520,1
228,Friday,9,1,en,131030,1,0,81,0.0,81,0
229,Friday,9,1,en,504,0,0,48,0.0,3019,0
230,Friday,9,1,en,1015,1,0,48,0.0,3766,0
231,Friday,9,1,en,882,1,0,44,0.0,3751,1
232,Friday,9,1,en,45,0,0,36,0.0,3751,0
233,Friday,9,1,en,1371,1,0,45,0.0,3770,1
234,Friday,9,1,en,290,0,0,41,0.0,3024,0
235,Friday,9,1,en,141,0,0,49,0.0,3019,0
236,Friday,9,1,en,795,0,0,47,0.0,1602,0
237,Friday,9,1,en,109,0,0,49,0.0,3767,0
238,Friday,9,1,en,332,0,0,44,0.0,1330,0
239,Friday,9,1,en,8627,0,0,60,0.0,3766,0
240,Friday,9,1,en,1406,2,0,48,0.0,3771,1
241,Friday,9,1,en,332,0,0,54,2.0,3772,0
242,Friday,9,1,en,447,0,0,41,1.5,3773,0
243,Friday,9,1,en,8607,1,0,46,0.0,3774,1
244,Friday,9,1,en,875,1,0,46,0.0,800,1
245,Friday,9,1,en,8,0,0,14,0.0,2960,0
246,Friday,9,1,en,875,2,0,46,0.0,800,0
247,Friday,9,1,en,1889,3,0,53,0.0,3753,1
248,Friday,9,1,en,8170,3,0,52,0.0,2057,1
249,Friday,9,1,en,232,1,0,42,0.0,2963,1
250,Friday,10,1,en,1052,4,0,51,0.0,800,1
251,Friday,10,1,en,333,0,0,44,0.0,1330,0
252,Friday,10,1,en,447,0,0,41,0.0,3773,0
253,Friday,10,1,en,959,0,0,47,0.0,3751,0
254,Friday,10,1,en,820,0,0,49,0.0,3775,0
255,Friday,10,1,en,1165,21,0,43,0.0,3776,1
